InChIKey,drugbank_id,groups
LCTONWCANYUPML-UHFFFAOYSA-N,DB00119,approved|investigational|nutraceutical
ODKSFYDXXFIFQN-BYPYZUCNSA-N,DB00125,investigational|nutraceutical
RADKZDMFGJYCBB-UHFFFAOYSA-N,DB00147,experimental|nutraceutical
MJVAVZPDRWSRRC-UHFFFAOYSA-N,DB00170,approved|nutraceutical
GXJABQQUPOEUTA-RDJZCZTQSA-N,DB00188,approved|investigational
IVBHGBMCVLDMKU-GXNBUGAJSA-N,DB00319,approved
WYWHKKSPHMUBEB-UHFFFAOYSA-N,DB00352,approved
WZPBZJONDBGPKJ-VEHQQRBSSA-N,DB00355,approved
AVKUERGKIZMTKX-NJBDSQKTSA-N,DB00415,approved|vet_approved
BPLBGHOLXOTWMN-MBNYWOFBSA-N,DB00417,approved|vet_approved
JAPHQRWPEGVNBT-UTUOFQBUSA-N,DB00447,approved|investigational|withdrawn
XUIIKFGFIJCVMT-LBPRGKRZSA-N,DB00451,approved
XIURVHNZVLADCM-IUODEOHRSA-N,DB00456,approved|investigational|vet_approved
GPRBEKHLDVQUJE-QSWIMTSFSA-N,DB00493,approved
ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,DB00567,approved|investigational|vet_approved
GPXLMGHLHQJAGZ-JTDSTZFVSA-N,DB00607,approved|investigational
OKBVVJOGVLARMR-QSWIMTSFSA-N,DB00671,approved|investigational
MUCZHBLJLSDCSD-UHFFFAOYSA-N,DB00677,approved|investigational|withdrawn
UWYHMGVUTGAWSP-JKIFEVAISA-N,DB00713,approved|investigational
SNIOPGDIGTZGOP-UHFFFAOYSA-N,DB00727,approved|investigational
DMJNNHOOLUXYBV-PQTSNVLCSA-N,DB00760,approved|investigational
HZZVJAQRINQKSD-PBFISZAISA-N,DB00766,approved|vet_approved
AUZONCFQVSMFAP-UHFFFAOYSA-N,DB00822,approved
YMDXZJFXQJVXBF-STHAYSLISA-N,DB00828,approved
UFULAYFCSOUIOV-UHFFFAOYSA-N,DB00847,approved|investigational
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,DB00855,approved
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,DB00945,approved|vet_approved
GVEZIHKRYBHEFX-NQQPLRFYSA-N,DB01034,experimental
JGSARLDLIJGVTE-MBNYWOFBSA-N,DB01053,approved|vet_approved
BJOLKYGKSZKIGU-UHFFFAOYSA-N,DB01057,approved
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,DB01060,approved|vet_approved
JTWOMNBEOCYFNV-NFFDBFGFSA-N,DB01061,approved
AHLBNYSZXLDEJQ-FWEHEUNISA-N,DB01083,approved|investigational
